# image_id qw qx qy qz Cx Cy Cz camera_id name cluster_label
257 0.89956184 -0.15087366 -0.40838185 -0.03535403 -1.82018530 2.33752522 -2.50419494 1 frame_00257.png 2
256 0.89031658 -0.14978032 -0.42837856 -0.03733686 -1.97367399 2.24781922 -2.29099566 1 frame_00256.png 2
255 0.88474247 -0.14975672 -0.43970464 -0.03825592 -2.06028353 2.18447683 -2.13488788 1 frame_00255.png 2
254 0.87130317 -0.14579235 -0.46664338 -0.04265357 -2.19436516 2.09182863 -1.82396486 1 frame_00254.png 2
253 0.86524699 -0.14524288 -0.47782486 -0.04399497 -2.24849842 2.04292464 -1.70621171 1 frame_00253.png 2
252 0.85962543 -0.14479160 -0.48791138 -0.04496666 -2.35408972 1.98492956 -1.49146174 1 frame_00252.png 2
251 0.85559394 -0.14603684 -0.49459663 -0.04479316 -2.44493646 1.89484342 -1.34574094 1 frame_00251.png 2
250 0.84886633 -0.14527480 -0.50612429 -0.04646914 -2.53831713 1.81687878 -1.16667061 1 frame_00250.png 2
249 0.84308044 -0.14447603 -0.51578594 -0.04803033 -2.62283409 1.75137865 -0.98186872 1 frame_00249.png 2
248 0.83752820 -0.14386076 -0.52480181 -0.04933207 -2.67991877 1.70414908 -0.86296401 1 frame_00248.png 2
247 0.83172309 -0.13953930 -0.53474219 -0.05306864 -2.80130249 1.64551744 -0.64782626 1 frame_00247.png 2
246 0.82635980 -0.13967899 -0.54283804 -0.05427817 -2.88104472 1.58608280 -0.49061467 1 frame_00246.png 2
245 0.81824617 -0.14086874 -0.55450727 -0.05613278 -2.93469972 1.52490468 -0.33905362 1 frame_00245.png 2
244 0.80877480 -0.13877378 -0.56808941 -0.06244666 -3.00009896 1.46322164 -0.11046809 1 frame_00244.png 2
243 0.80115161 -0.13352582 -0.57910348 -0.07047067 -3.05163939 1.42560148 0.03754870 1 frame_00243.png 2
242 0.78681144 -0.12880706 -0.59786510 -0.08302904 -3.13518650 1.35886117 0.31349537 1 frame_00242.png 2
241 0.77502772 -0.12064647 -0.61284189 -0.09592327 -3.18733322 1.26904869 0.46902620 1 frame_00241.png 2
240 0.76239894 -0.11771633 -0.62747406 -0.10567419 -3.21963706 1.19396208 0.68243465 1 frame_00240.png 2
239 0.75372092 -0.10875044 -0.63739714 -0.11748619 -3.24674173 1.16106813 0.81352473 1 frame_00239.png 2
238 0.74374067 -0.10124311 -0.64844237 -0.12697301 -3.27044714 1.11066124 0.93428217 1 frame_00238.png 2
237 0.72402628 -0.09139498 -0.66917004 -0.14015835 -3.30391489 1.02338079 1.18632952 1 frame_00237.png 1
236 0.71292699 -0.08797445 -0.68061529 -0.14407787 -3.32153966 0.96081665 1.32231525 1 frame_00236.png 1
235 0.69473278 -0.08311705 -0.69848816 -0.15017392 -3.31994831 0.90667587 1.47461333 1 frame_00235.png 1
234 0.67991588 -0.07971998 -0.71217171 -0.15546891 -3.28709555 0.86364803 1.61420876 1 frame_00234.png 1
233 0.65819945 -0.07577900 -0.73144251 -0.16131612 -3.26444442 0.79267921 1.77506398 1 frame_00233.png 1
232 0.64512588 -0.06945364 -0.74168472 -0.16997813 -3.26328738 0.76051407 1.87714102 1 frame_00232.png 1
231 0.62596839 -0.06703791 -0.75730516 -0.17366170 -3.22620043 0.69174790 2.04360365 1 frame_00231.png 1
230 0.60243448 -0.06658693 -0.77549114 -0.17678339 -3.15977614 0.60885607 2.23525936 1 frame_00230.png 1
229 0.57455857 -0.06086940 -0.79451636 -0.18687193 -3.08417088 0.50717218 2.41829467 1 frame_00229.png 1
228 0.54908992 -0.05437313 -0.80980728 -0.19938903 -3.02146659 0.40928494 2.57682874 1 frame_00228.png 1
227 0.53854358 -0.05383500 -0.81658240 -0.20066337 -2.99658893 0.37446934 2.65088355 1 frame_00227.png 1
226 0.51291507 -0.04893560 -0.83037178 -0.21214652 -2.91767241 0.26503680 2.88065532 1 frame_00226.png 1
225 -0.48156310 0.04934668 0.84855952 0.21356175 -2.78277235 0.19314751 3.08585575 1 frame_00225.png 1
224 -0.44920267 0.04514024 0.86319575 0.22599209 -2.63648582 0.09712698 3.27845888 1 frame_00224.png 1
223 -0.42715017 0.04374408 0.87185274 0.23558861 -2.53767092 0.02923079 3.41458930 1 frame_00223.png 1
222 -0.38215705 0.04088518 0.89011674 0.24490118 -2.35588946 -0.05563530 3.61627982 1 frame_00222.png 1
221 -0.34047437 0.04323375 0.90526816 0.25039491 -2.11688189 -0.13601399 3.78347395 1 frame_00221.png 1
220 -0.29279412 0.04508876 0.91887636 0.26058557 -1.88464234 -0.17247655 3.89078656 1 frame_00220.png 1
219 -0.25746436 0.04707788 0.92746399 0.26703245 -1.73585580 -0.19609939 3.94622215 1 frame_00219.png 1
218 -0.21218644 0.05131935 0.93525587 0.27863901 -1.50483805 -0.22842238 4.04723799 1 frame_00218.png 1
217 -0.17516583 0.05592953 0.94076325 0.28487423 -1.26270364 -0.28278478 4.10456757 1 frame_00217.png 1
216 -0.14051091 0.05900087 0.94414790 0.29216491 -1.05494766 -0.32810684 4.12957472 1 frame_00216.png 1
215 -0.08433991 0.05774835 0.94691516 0.30480090 -0.80494352 -0.36884065 4.14819363 1 frame_00215.png 1
214 -0.03990663 0.05705377 0.94539545 0.31840191 -0.60272758 -0.43020925 4.14376912 1 frame_00214.png 1
213 -0.00122719 0.05605637 0.94295097 0.32817625 -0.41171186 -0.55229448 4.10591941 1 frame_00213.png 0
212 0.04729771 0.05234210 0.93605943 0.34469693 -0.20795698 -0.82568778 4.04123776 1 frame_00212.png 0
211 0.08536980 0.04694204 0.93035604 0.35347713 -0.04126655 -1.01653381 3.94302037 1 frame_00211.png 0
210 0.13142763 0.04112502 0.91950444 0.36816720 0.24252715 -1.18200074 3.69867348 1 frame_00210.png 0
209 0.15570073 0.03750783 0.91441638 0.37174336 0.40806528 -1.25366699 3.57512096 1 frame_00209.png 0
208 0.18414964 0.03194346 0.90925296 0.37192416 0.58713276 -1.40555522 3.44921275 1 frame_00208.png 0
207 0.20860269 0.02656215 0.90432598 0.37144837 0.81497903 -1.52902261 3.30254817 1 frame_00207.png 0
206 0.23241493 0.01922112 0.89935518 0.36982983 1.04890299 -1.63814439 3.07331253 1 frame_00206.png 0
205 0.25605668 0.01300745 0.89197559 0.37235109 1.22574899 -1.73611258 2.87890505 1 frame_00205.png 0
204 0.28041298 0.00686551 0.88402842 0.37391868 1.39965116 -1.80316940 2.73451011 1 frame_00204.png 0
203 0.31527398 0.00197160 0.87048033 0.37797147 1.63818941 -1.92132983 2.47967303 1 frame_00203.png 0
202 0.34906935 0.00025693 0.85544669 0.38257220 1.81365539 -1.90543680 2.23853724 1 frame_00202.png 0
201 0.37782580 0.00129568 0.84226740 0.38448877 1.94850603 -1.84604519 2.02931288 1 frame_00201.png 0
200 0.40755285 0.00492287 0.82824952 0.38455060 2.06346235 -1.78879049 1.81660209 1 frame_00200.png 0
199 0.44124681 0.01184878 0.81259557 0.38059073 2.17234746 -1.68434563 1.64102646 1 frame_00199.png 0
198 0.47118632 0.01898116 0.79796291 0.37533767 2.29392763 -1.63978192 1.41657039 1 frame_00198.png 0
197 0.50265320 0.02542716 0.78215028 0.36733384 2.37836686 -1.52414061 1.14392753 1 frame_00197.png 0
196 0.52466294 0.02968670 0.77059214 0.36060401 2.41826704 -1.45013074 0.93451909 1 frame_00196.png 0
195 0.54258521 0.03213873 0.76071061 0.35480666 2.49206552 -1.37956428 0.75390054 1 frame_00195.png 0
194 0.56684691 0.03288225 0.74702904 0.34576140 2.62626278 -1.27216355 0.39456284 1 frame_00194.png 0
193 0.58351150 0.03364953 0.73668750 0.34010817 2.70462106 -1.18439668 0.12084488 1 frame_00193.png 0
69 0.97702125 -0.00923370 -0.19930060 -0.07498994 -0.57145861 1.35188227 -4.33686651 1 frame_00069.png 2
70 0.98556119 -0.00631505 -0.15855225 -0.05907993 -0.31840200 1.34544493 -4.44495332 1 frame_00070.png 2
71 0.99210378 -0.00427542 -0.11737959 -0.04397544 -0.10788819 1.37479098 -4.53726715 1 frame_00071.png 2
72 0.99599997 -0.00179415 -0.08384070 -0.03084751 0.08719860 1.39606541 -4.63740322 1 frame_00072.png 2
73 0.99907380 0.00062532 -0.04055672 -0.01436294 0.30780478 1.41263128 -4.67960020 1 frame_00073.png 2
74 0.99999498 0.00284921 -0.00137979 0.00012723 0.51724206 1.40638209 -4.65596826 1 frame_00074.png 2
75 0.99923649 0.00340663 0.03622410 0.01423567 0.70266954 1.36990103 -4.64893451 1 frame_00075.png 2
76 0.99724458 0.00409689 0.06939140 0.02590923 0.90204920 1.36257861 -4.63665299 1 frame_00076.png 2
77 0.99321451 0.00514754 0.10910680 0.03992669 1.19356545 1.33246996 -4.62383327 1 frame_00077.png 2
78 0.98808721 0.00575967 0.14468955 0.05210977 1.39858690 1.30929968 -4.57144580 1 frame_00078.png 2
79 0.98300545 0.00697751 0.17293750 0.06118999 1.54267381 1.28526034 -4.48388111 1 frame_00079.png 2
80 0.97357027 0.00790751 0.21547639 0.07528833 1.77467068 1.20917493 -4.36783658 1 frame_00080.png 2
81 0.96431694 0.00880157 0.25004314 0.08656671 1.99782956 1.17425777 -4.25989865 1 frame_00081.png 2
82 0.95431643 0.01063588 0.28202118 0.09813806 2.22553856 1.11324375 -4.15224378 1 frame_00082.png 2
83 0.94338270 0.01142484 0.31295557 0.10934976 2.39154075 1.07469224 -4.00416608 1 frame_00083.png 2
84 0.93206273 0.01419952 0.34164016 0.11974741 2.51285099 1.02701793 -3.83915402 1 frame_00084.png 1
85 0.91448102 0.01509142 0.38140044 0.13427739 2.69579410 0.93334413 -3.63766889 1 frame_00085.png 1
86 0.90238617 0.01501180 0.40609688 0.14338467 2.85513878 0.89015424 -3.50929332 1 frame_00086.png 1
87 0.88387876 0.01791563 0.44013133 0.15723160 3.09458787 0.79342406 -3.33905356 1 frame_00087.png 1
88 0.86768505 0.01725335 0.46775872 0.16741194 3.19986545 0.73804669 -3.18552150 1 frame_00088.png 1
89 0.84496743 0.01810191 0.50327601 0.18004341 3.27127680 0.65411997 -2.93540786 1 frame_00089.png 1
90 0.82359170 0.01774996 0.53376852 0.19097858 3.32342289 0.54330114 -2.74068078 1 frame_00090.png 1
91 0.80102395 0.01842498 0.56339478 0.20151295 3.39786747 0.47489313 -2.50097014 1 frame_00091.png 1
92 0.78087438 0.02002543 0.58788371 0.21030200 3.47962897 0.38091015 -2.27954210 1 frame_00092.png 1
93 0.75530132 0.02141235 0.61694002 0.22010552 3.51073928 0.29543744 -2.03911937 1 frame_00093.png 1
94 0.73180196 0.02377392 0.64169027 0.22832934 3.47904002 0.21952148 -1.79239287 1 frame_00094.png 1
95 0.70963313 0.02609287 0.66375180 0.23489046 3.44390872 0.12150307 -1.59594629 1 frame_00095.png 1
96 0.68228498 0.02827989 0.68918533 0.24230361 3.41433963 0.03730301 -1.33940800 1 frame_00096.png 1
97 0.65999757 0.03073485 0.70848131 0.24801779 3.40087659 -0.06314519 -1.10845487 1 frame_00097.png 1
98 0.63333152 0.03219473 0.73031417 0.25396044 3.36511895 -0.15219052 -0.87286445 1 frame_00098.png 1
99 0.60918614 0.03353154 0.74900511 0.25837807 3.29585798 -0.20895932 -0.64113429 1 frame_00099.png 1
100 0.58726354 0.03514671 0.76461711 0.26314810 3.21314792 -0.31361350 -0.43724777 1 frame_00100.png 1
101 0.56833792 0.03570752 0.77757910 0.26662280 3.14168437 -0.39052624 -0.21780085 1 frame_00101.png 1
102 0.55228497 0.03722844 0.78780783 0.27010031 3.06416968 -0.50044690 0.03949843 1 frame_00102.png 1
103 0.53891649 0.03851202 0.79594705 0.27304601 2.95796179 -0.58748904 0.22968150 1 frame_00103.png 0
104 0.52682268 0.04007142 0.80255025 0.27706542 2.78616588 -0.62668833 0.43064722 1 frame_00104.png 0
105 0.51981738 0.04013279 0.80602701 0.28017799 2.67572966 -0.68635393 0.59109197 1 frame_00105.png 0
106 0.50996625 0.03978406 0.81143379 0.28271340 2.59123870 -0.75560930 0.81402815 1 frame_00106.png 0
107 0.50194901 0.03938479 0.81514975 0.28640343 2.53505120 -0.85833693 1.03911775 1 frame_00107.png 0
108 0.49255289 0.03711782 0.81939980 0.29085716 2.45544908 -0.93663718 1.26268895 1 frame_00108.png 0
109 0.48371353 0.03564222 0.82276476 0.29632584 2.35318304 -0.98044726 1.44314953 1 frame_00109.png 0
110 0.47290649 0.03408459 0.82668603 0.30296518 2.24464122 -1.06738537 1.61288684 1 frame_00110.png 0
111 0.45814851 0.03211226 0.83272317 0.30925857 2.14854389 -1.12533810 1.80090586 1 frame_00111.png 0
112 0.44286012 0.03089634 0.83772610 0.31801778 2.05438314 -1.20248947 2.01013606 1 frame_00112.png 0
113 0.41760237 0.02810533 0.84669618 0.32851778 1.92323140 -1.29285303 2.25169423 1 frame_00113.png 0
114 0.38284820 0.02479527 0.85814992 0.34116149 1.74653080 -1.37279101 2.43493056 1 frame_00114.png 0
115 0.35040497 0.02007986 0.86805812 0.35112429 1.61099243 -1.47401230 2.55961160 1 frame_00115.png 0
116 0.31385652 0.01486664 0.87763629 0.36197736 1.46773033 -1.57540914 2.68699098 1 frame_00116.png 0
117 0.27123929 0.00845103 0.88667956 0.37437573 1.30999453 -1.72934814 2.80496777 1 frame_00117.png 0
118 0.22342087 0.00022250 0.89563600 0.38460267 1.11172183 -1.82165656 2.87283171 1 frame_00118.png 0
119 0.18235615 -0.00701234 0.90208310 0.39107946 0.92334014 -1.89776775 2.91543290 1 frame_00119.png 0
