# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 322, mean observations per image: 2822.0527950310561
251 0.85428417 -0.14948842 -0.49606814 -0.04204946 -0.75888519 -3.24808215 2.96072229 1 frame_00251.png

241 0.77359864 -0.12331300 -0.61461261 -0.09268436 -0.06362047 -3.34565347 2.61788844 1 frame_00241.png

231 -0.62478505 0.06858965 0.75899694 0.16989039 0.05512216 -3.60312522 2.22640169 1 frame_00231.png

221 -0.33901680 0.04322202 0.90697058 0.24617846 -0.04505964 -3.62108236 2.06060359 1 frame_00221.png

211 0.08673356 0.04495857 0.93182882 0.34950117 -0.67387586 -3.26161625 1.27161069 1 frame_00211.png

201 0.37880348 -0.00183800 0.84337456 0.38108254 0.32495639 -2.20294785 1.08267753 1 frame_00201.png

71 0.99193418 -0.00832193 -0.11911260 -0.04253847 -1.07640670 -3.35629536 3.48369255 1 frame_00071.png

81 0.96464771 0.00427814 0.24894856 0.08637772 0.76160101 -3.41157400 3.51004022 1 frame_00081.png

91 0.80177493 0.01407970 0.56305650 0.19981519 1.81724409 -3.06640662 2.44615826 1 frame_00091.png

101 0.56945419 0.03201063 0.77788543 0.26380203 1.50360223 -2.63584421 1.20916325 1 frame_00101.png

111 0.45930174 0.02876968 0.83338777 0.30607033 0.18229310 -2.52278027 1.03679236 1 frame_00111.png

121 0.11433754 -0.01933926 0.91260655 0.39204873 0.02567748 -2.41003383 1.15306911 1 frame_00121.png

1 0.56704886 0.03505033 0.76585303 0.30115810 0.05677953 -2.60965560 1.01004420 1 frame_00001.png

261 0.93605897 -0.16931242 -0.30776252 -0.02022730 -1.15206291 -3.26028027 3.66661912 1 frame_00261.png

41 -0.67012065 0.00153683 0.69503800 0.26049592 -0.11642030 -3.00390013 1.75208078 1 frame_00041.png

301 0.52333652 -0.05588834 0.83860144 0.14050980 0.57165192 -3.18540289 1.94907663 1 frame_00301.png

51 0.81943923 -0.02280775 -0.54277793 -0.18273279 -0.78022615 -2.85900980 2.03728200 1 frame_00051.png

321 0.07891995 0.06068308 0.92747117 0.36039761 -0.75482106 -2.88937052 1.29651267 1 frame_00321.png

61 0.88788711 -0.01806634 -0.43438452 -0.15046653 -1.93666511 -2.95918180 2.34109825 1 frame_00061.png

311 0.31898221 -0.01528110 0.93526141 0.15265296 -0.32742014 -3.09997582 2.04879460 1 frame_00311.png

291 0.70202602 -0.09835750 0.69608574 0.11379768 1.63970315 -3.22238155 2.55147513 1 frame_00291.png

31 -0.35229538 0.02330203 0.86576448 0.35467852 -0.53250727 -3.00735863 1.64020567 1 frame_00031.png

281 0.90398288 -0.14652000 0.39534103 0.07107963 1.18806661 -3.23262389 3.68892162 1 frame_00281.png

21 -0.02358940 0.05542813 0.92057608 0.38588982 -0.56526330 -2.79628398 1.12142409 1 frame_00021.png

271 0.97877530 -0.19889254 0.04577273 0.01858827 0.03385665 -2.93370666 4.32289668 1 frame_00271.png

11 0.37690796 0.06346345 0.85975898 0.33871415 -0.67232975 -2.64451342 0.97873404 1 frame_00011.png

131 -0.24477884 -0.03593628 0.90181273 0.35429606 -0.41895009 -2.41976046 1.36069169 1 frame_00131.png

141 -0.59872145 -0.04062013 0.76344948 0.23880437 -0.56277674 -2.39910297 1.48431009 1 frame_00141.png

151 0.78891640 0.04325041 -0.58825433 -0.17232860 -1.38647920 -2.49583605 1.58096085 1 frame_00151.png

161 0.96438963 0.09428549 -0.24037724 -0.05728588 -0.74842327 -3.37511136 2.47038213 1 frame_00161.png

171 0.99287033 0.06743913 0.07130714 0.06764435 0.11736994 -3.40978069 3.14142249 1 frame_00171.png

181 0.82972369 0.05249516 0.48724222 0.26720380 1.91434836 -2.77806069 2.07069350 1 frame_00181.png

191 0.61541053 0.02944222 0.71529128 0.32978996 1.36281356 -2.20203005 1.14868025 1 frame_00191.png

